"id","object","class","dim","columns","bytes","sha256","source","eh_id","zenodo_doi"
"coefStemTOC","coefStemTOC","data.frame","371x1","CpGmarker",2084,"f3ff27d98dc02e580c8691d317c565b4e27f1e729db3b8173f84dbd2269a49d5","EpiMitClocks (github.com/aet21/EpiMitClocks); CpG list CC-BY","EH10469","10.5281/zenodo.21840402"
"coefCausAge","coefCausAge","data.frame","586x2","CpGmarker|CoefficientTraining",8132,"57dc40173de58bc9c9a1243391d1e3d6914a9a70d50c6cd6a4df8624cc8c4ae1","biolearn bio-learn/biolearn (Ying 2024), BSD-3","EH10470","10.5281/zenodo.21840402"
"coefDamAge","coefDamAge","data.frame","1090x2","CpGmarker|CoefficientTraining",14272,"c469500f3d9d62cbd0d456668b6faec73fa7f3e57064e97a841805794b9eb37f","biolearn bio-learn/biolearn (Ying 2024), BSD-3","EH10471","10.5281/zenodo.21840402"
"coefAdaptAge","coefAdaptAge","data.frame","1000x2","CpGmarker|CoefficientTraining",13393,"71ad6ca91d3eb73a39178172d2d22c5ce59e3cca61d8e5e9da537a106dd8e31f","biolearn bio-learn/biolearn (Ying 2024), BSD-3","EH10472","10.5281/zenodo.21840402"
"coefLin","coefLin","data.frame","100x2","CpGmarker|CoefficientTraining",1651,"7c5987752beb4323629d020b0e227b70e96656d5fe2ccd9dc820a4017dc5d113","Lin 2016 Aging 8:394 Suppl Table 1 (99-CpG)","EH10473","10.5281/zenodo.21840402"
"coefWeidner","coefWeidner","data.frame","4x2","CpGmarker|CoefficientTraining",239,"9a3feb7d0c500f9ccdb61ffe243775587fa21b082536142bb1260c566cd39645","Weidner 2014 Genome Biol 15:R24 (3-CpG; PDE4C=cg17861230 array probe)","EH10474","10.5281/zenodo.21840402"
"coefAltumAgeRef","coefAltumAgeRef","character","20318","CpGmarker",78879,"fb86a44a4923ca8d76f2fff864ed06e40bc8d8e7fb127902d0354e84c213879f","biolearn AltumAge.csv order (de Lima Camillo 2022)","EH10475","10.5281/zenodo.21840402"
"coefAltumAge","coefAltumAge","hdf5","weights+scaler","",3821682,"eca294f39c3330fac105fbe152893b1fbb1a0e40384fecc1719ac6772d2c441c","AltumAge net weights (biolearn AltumAge.pt) -> HDF5 via BigDataStatMeth","EH10476","10.5281/zenodo.21840402"
"coefMcCartneySmoking","coefMcCartneySmoking","data.frame","233x2","CpGmarker|CoefficientTraining",3522,"7d54824c84b808ca5e61102a5bce59e63addf1a47164a691a5927de1abc8110a","biolearn bio-learn/biolearn (McCartney 2018), BSD-3","EH10477","10.5281/zenodo.21840402"
"coefMcCartneyAlcohol","coefMcCartneyAlcohol","data.frame","450x2","CpGmarker|CoefficientTraining",6473,"ab8da61066b297b3f1eea713552e188e3a25fc55cf7e57f5d9aba9918c49f9b5","biolearn bio-learn/biolearn (McCartney 2018), BSD-3","EH10478","10.5281/zenodo.21840402"
